DATE,TOTALSA
2000-01-01,18.635
2000-02-01,19.401
2000-03-01,18.343
2000-04-01,17.939
2000-05-01,17.943
2000-06-01,17.596
2000-07-01,17.316
2000-08-01,17.531
2000-09-01,18.654
2000-10-01,17.514
2000-11-01,16.634
2000-12-01,16.222
2001-01-01,17.652
2001-02-01,17.826
2001-03-01,17.248
2001-04-01,16.872
2001-05-01,16.876
2001-06-01,17.464
2001-07-01,16.463
2001-08-01,16.348
2001-09-01,16.365
2001-10-01,22.055
2001-11-01,18.031
2001-12-01,16.465
2002-01-01,16.523
2002-02-01,17.304
2002-03-01,17.107
2002-04-01,17.668
2002-05-01,16.197
2002-06-01,16.953
2002-07-01,18.147
2002-08-01,18.449
2002-09-01,16.665
2002-10-01,16.259
2002-11-01,16.52
2002-12-01,17.866
2003-01-01,16.708
2003-02-01,16.114
2003-03-01,16.467
2003-04-01,16.751
2003-05-01,16.47
2003-06-01,17.013
2003-07-01,17.117
2003-08-01,18.262
2003-09-01,17.286
2003-10-01,16.489
2003-11-01,17.563
2003-12-01,17.357
2004-01-01,16.695
2004-02-01,17.032
2004-03-01,17.247
2004-04-01,16.898
2004-05-01,18.186
2004-06-01,16.173
2004-07-01,17.309
2004-08-01,17.157
2004-09-01,17.875
2004-10-01,17.514
2004-11-01,17.362
2004-12-01,18.102
2005-01-01,16.889
2005-02-01,16.886
2005-03-01,17.413
2005-04-01,17.756
2005-05-01,17.414
2005-06-01,18.482
2005-07-01,21.135
2005-08-01,17.418
2005-09-01,16.927
2005-10-01,15.336
2005-11-01,16.524
2005-12-01,17.174
2006-01-01,18.081
2006-02-01,17.071
2006-03-01,16.96
2006-04-01,17.127
2006-05-01,16.729
2006-06-01,16.9
2006-07-01,17.662
2006-08-01,16.458
2006-09-01,16.974
2006-10-01,16.865
2006-11-01,16.657
2006-12-01,17.107
2007-01-01,16.896
2007-02-01,17.169
2007-03-01,16.438
2007-04-01,16.615
2007-05-01,16.661
2007-06-01,16.179
2007-07-01,15.837
2007-08-01,16.379
2007-09-01,16.532
2007-10-01,16.455
2007-11-01,16.354
2007-12-01,16.03
2008-01-01,15.705
2008-02-01,15.491
2008-03-01,15.114
2008-04-01,14.605
2008-05-01,14.697
2008-06-01,14.377
2008-07-01,13.006
2008-08-01,14.119
2008-09-01,12.961
2008-10-01,10.933
2008-11-01,10.526
2008-12-01,10.383
2009-01-01,9.786
2009-02-01,9.223
2009-03-01,9.748
2009-04-01,9.379
2009-05-01,10.176
2009-06-01,10.149
2009-07-01,11.566
2009-08-01,14.754
2009-09-01,9.535
2009-10-01,10.576
2009-11-01,11.041
2009-12-01,11.284
2010-01-01,10.893
2010-02-01,10.315
2010-03-01,11.772
2010-04-01,11.454
2010-05-01,12.03
2010-06-01,11.598
2010-07-01,11.948
2010-08-01,12.014
2010-09-01,11.922
2010-10-01,12.414
2010-11-01,12.3
2010-12-01,12.605
2011-01-01,12.806
2011-02-01,13.081
2011-03-01,13.259
2011-04-01,13.326
2011-05-01,12.28
2011-06-01,11.886
2011-07-01,12.72
2011-08-01,12.604
2011-09-01,13.356
2011-10-01,13.73
2011-11-01,13.743
2011-12-01,13.798
2012-01-01,14.395
2012-02-01,14.975
2012-03-01,14.594
2012-04-01,14.769
2012-05-01,14.496
2012-06-01,14.467
2012-07-01,14.38
2012-08-01,14.444
2012-09-01,15.099
2012-10-01,14.83
2012-11-01,15.456
2012-12-01,15.462
2013-01-01,15.813
2013-02-01,15.861
2013-03-01,15.721
